input_itemid,rank,product_itemid,product_category,product_name,avg_price,avg_discount,like_count,comment_count,product_views,avg_rating,units_sold
2538456294,1,7582713454,Long Sleeves,Kathryn Korean Trend Long Sleeve Croptop 11176#,299.0,77.0,11031,1338,120161,4.83,3478
2538456294,2,7641709091,Short Sleeves,korean fashion knitted blouse MICKEY top shortsleeve,199.0,67.0,101,35,340,4.83,76
2538456294,3,7635156435,Long Sleeves,COD & Ready stock Korean Top Fashion Square Collar Sexy Tops Pleated Small Floral Print Chiffon Croptop oversized shirt,515.0,56.0,456,259,878,4.88,671
2538456294,4,7589366746,Short Sleeves,korean fashion knitted Round neck blouse top short sleeves,300.0,18.0,23,11,1452,5.0,112
2538456294,5,7547854794,Top,Korean Style Casual Shirt Black White Men's Shirts Harajuku Men Autumn New Loose Long Sleeve Shirt Tops Streetwear Man Oversized Blouse,399.0,20.0,305,43,444,4.74,74
2538456294,6,7563770506,Long Sleeves,Chiffon Korean-Style off-Shoulder Long Sleeve Tops Ribbon Crop Shirt Classic Plain Color Blouse,480.0,41.0,4636,635,20093,4.93,1318
2538456294,7,7512307289,Long Sleeves,Ready stock Korean Office Lady Casual Women Short Sleeve Ruffle Chiffon Blouse Korean top,250.0,26.0,3497,2328,26053,4.78,7212
2553628745,1,7582713454,Long Sleeves,Kathryn Korean Trend Long Sleeve Croptop 11176#,299.0,77.0,11031,1338,120161,4.83,3478
2553628745,2,7547854794,Top,Korean Style Casual Shirt Black White Men's Shirts Harajuku Men Autumn New Loose Long Sleeve Shirt Tops Streetwear Man Oversized Blouse,399.0,20.0,305,43,444,4.74,74
2553628745,3,7641709091,Short Sleeves,korean fashion knitted blouse MICKEY top shortsleeve,199.0,67.0,101,35,340,4.83,76
2553628745,4,7635156435,Long Sleeves,COD & Ready stock Korean Top Fashion Square Collar Sexy Tops Pleated Small Floral Print Chiffon Croptop oversized shirt,515.0,56.0,456,259,878,4.88,671
2553628745,5,7589366746,Short Sleeves,korean fashion knitted Round neck blouse top short sleeves,300.0,18.0,23,11,1452,5.0,112
2553628745,6,7664397492,Long Sleeves,Fashion Women Floral Blouse Korean Top Chiffon Casual Printed V Neck Shirts Puff Long Sleeve Tops Women's Blouse Chiffon Long Sleeves Blouses,523.0,82.0,2605,452,21842,4.815,981
2553628745,7,7512307289,Long Sleeves,Ready stock Korean Office Lady Casual Women Short Sleeve Ruffle Chiffon Blouse Korean top,250.0,26.0,3497,2328,26053,4.78,7212
2617101766,1,7582713454,Long Sleeves,Kathryn Korean Trend Long Sleeve Croptop 11176#,299.0,77.0,11031,1338,120161,4.83,3478
2617101766,2,7641709091,Short Sleeves,korean fashion knitted blouse MICKEY top shortsleeve,199.0,67.0,101,35,340,4.83,76
2617101766,3,7635156435,Long Sleeves,COD & Ready stock Korean Top Fashion Square Collar Sexy Tops Pleated Small Floral Print Chiffon Croptop oversized shirt,515.0,56.0,456,259,878,4.88,671
2617101766,4,7589366746,Short Sleeves,korean fashion knitted Round neck blouse top short sleeves,300.0,18.0,23,11,1452,5.0,112
2617101766,5,7547854794,Top,Korean Style Casual Shirt Black White Men's Shirts Harajuku Men Autumn New Loose Long Sleeve Shirt Tops Streetwear Man Oversized Blouse,399.0,20.0,305,43,444,4.74,74
2617101766,6,7563770506,Long Sleeves,Chiffon Korean-Style off-Shoulder Long Sleeve Tops Ribbon Crop Shirt Classic Plain Color Blouse,480.0,41.0,4636,635,20093,4.93,1318
2617101766,7,7512307289,Long Sleeves,Ready stock Korean Office Lady Casual Women Short Sleeve Ruffle Chiffon Blouse Korean top,250.0,26.0,3497,2328,26053,4.78,7212
